Date;mm
Thursday 01Dec-16;9,0
Friday 02Dec-16;3,8
Monday 05Dec-16;10,0
Tuesday 06Dec-16;0,4
Wednesday 07Dec-16;0,2
Friday 09Dec-16;2,9
Sunday 11Dec-16;21,8
Monday 12Dec-16;0,7
Tuesday 13Dec-16;17,0
Friday 16Dec-16;0,7
Saturday 17Dec-16;2,1
Tuesday 20Dec-16;22,0
Wednesday 21Dec-16;18,0
Sunday 25Dec-16;19,0
Wednesday 28Dec-16;5,0
Thursday 29Dec-16;9,0
Wednesday 04Jan-17;58,0
Thursday 05Jan-17;12,0
Saturday 07Jan-17;75,0
Sunday 08Jan-17;42,0
Monday 09Jan-17;1,0
Wednesday 11Jan-17;3,4
Friday 13Jan-17;1,0
Saturday 14Jan-17;3,0
Saturday 21Jan-17;2,5
Sunday 22Jan-17;10,0
Friday 27Jan-17;63,0
Saturday 28Jan-17;18,0
Tuesday 31Jan-17;14,0
Friday 10Feb-17;10,0
Tuesday 14Feb-17;6,0
Wednesday 15Feb-17;1,8
Monday 20Feb-17;22,0
Tuesday 21Feb-17;60,0
Wednesday 22Feb-17;75,0
Thursday 23Feb-17;2,0
Friday 24Feb-17;14,0
Saturday 25Feb-17;1,3
Friday 10Mar-17;3,0
Thursday 06Apr-17;2,5
Friday 07Apr-17;65,0
Tuesday 11Apr-17;18,0
Thursday 13Apr-17;4,5
Friday 14Apr-17;11,0
Saturday 15Apr-17;0,5
Monday 24Apr-17;7,0
Saturday 13May-17;16,0
Sunday 14May-17;16,0
Monday 15May-17;11,8
Sunday 09Jul-17;1,0
Tuesday 26Sept-17;9,0
Saturday 30Sept-17;53,0
Tuesday 03Oct-17;22,0
Friday 06Oct-17;29,0
Saturday 07Oct-17;7,0
Sunday 08Oct-17;4,0
Monday 09Oct-17;12,0
Saturday 21Oct-17;14,0
Sunday 22Oct-17;4,0
Tuesday 24Oct-17;1,5
Saturday 28Oct-17;0,3
Sunday 05Nov-17;6,0
Monday 13Nov-17;4,0
Wednesday 15Nov-17;12,0
Thursday 16Nov-17;21,0
Thursday 23Nov-17;14,2
Friday 24Nov-17;1,0
Saturday 25Nov-17;7,2
Sunday 26Nov-17;20,0
Tuesday 28Nov-17;42,0
Thursday 30Nov-17;7,8
Saturday 02Dec-17;0,8
Sunday 03Dec-17;0,8
Monday 04Dec-17;6,0
Tuesday 05Dec-17;10,0
Wednesday 06Dec-17;42,0
Thursday 07Dec-17;55,0
Friday 08Dec-17;3,0
Saturday 09Dec-17;2,5
Monday 11Dec-17;3,0
Wednesday 13Dec-17;9,7
Saturday 30Dec-17;24,0
Sunday 31Dec-17;9,0
Wednesday 10Jan-18;44,0
Tuesday 16Jan-18;30,0
Monday 22Jan-18;3,5
Wednesday 24Jan-18;16,0
Thursday 25Jan-18;9,2
Sunday 28Jan-18;5,0
Monday 29Jan-18;5,0
Saturday 03Feb-18;14,0
Sunday 04Feb-18;22,0
Wednesday 07Feb-18;20,0
Thursday 08Feb-18;6,0
Sunday 11Feb-18;1,9
Monday 12Feb-18;0,8
Tuesday 20Feb-18;3,8
Wednesday 21Feb-18;9,3
Thursday 22Feb-18;7,0
Saturday 24Feb-18;2,0
Thursday 01Mar-18;12,0
Monday 05Mar-18;4,0
Friday 09Mar-18;7,0
Thursday 15Mar-18;31,0
Sunday 18Mar-18;13,0
Monday 19Mar-18;10,0
Thursday 22Mar-18;55,0
Friday 23Mar-18;146,0
Saturday 24Mar-18;50,0
Sunday 01Apr-18;1,2
Tuesday 10Apr-18;9,1
Wednesday 11Apr-18;2,0
Thursday 12Apr-18;32,0
Friday 04May-18;16,3
Monday 14May-18;6,9
Thursday 31May-18;9,0
Friday 01Jun-18;5,0
Saturday 25Aug-18;2,5
Saturday 08Sept-18;10,0
Friday 28Sept-18;0,5
Saturday 29Sept-18;8,0
Thursday 04Oct-18;2,0
Saturday 13Oct-18;5,0
Sunday 14Oct-18;38,0
Monday 15Oct-18;8,0
Sunday 21Oct-18;6,0
Friday 02Nov-18;10,0
Tuesday 06Nov-18;3,4
Tuesday 20Nov-18;9,2
Sunday 25Nov-18;11,5
Monday 26Nov-18;11,2
Wednesday 28Nov-18;5,5
Friday 07Dec-18;5,0
Sunday 09Dec-18;17,8
Tuesday 11Dec-18;4,0
Saturday 15Dec-18;10,0
Monday 17Dec-18;0,3
Sunday 23Dec-18;4,8
Monday 24Dec-18;2,0
Friday 28Dec-18;3,0
Saturday 29Dec-18;14,0
Monday 31Dec-18;52,2
Wednesday 02Jan-19;18,0
Thursday 03Jan-19;22,0
Sunday 06Jan-19;3,5
Monday 07Jan-19;10,0
Wednesday 09Jan-19;23,0
Friday 11Jan-19;3,0
Saturday 12Jan-19;19,0
Tuesday 15Jan-19;32,0
Friday 18Jan-19;10,0
Thursday 24Jan-19;5,0
Friday 25Jan-19;20,0
Sunday 27Jan-19;7,0
Monday 28Jan-19;20,0
Thursday 31Jan-19;22,2
Saturday 02Feb-19;2,0
Monday 04Feb-19;13,0
Tuesday 12Feb-19;42,0
Wednesday 13Feb-19;4,8
Thursday 14Feb-19;44,0
Friday 15Feb-19;38,0
Saturday 16Feb-19;1,4
Friday 22Feb-19;16,0
Wednesday 06Mar-19;1,8
Saturday 09Mar-19;6,0
Tuesday 12Mar-19;2,8
Tuesday 26Mar-19;2,5
Friday 29Mar-19;3,8
Tuesday 02Apr-19;5,0
Wednesday 03Apr-19;0,3
Saturday 06Apr-19;33,0
Tuesday 09Apr-19;25,0
Saturday 13Apr-19;16,0
Tuesday 16Apr-19;1,8
Tuesday 23Apr-19;5,4
Wednesday 24Apr-19;2,3
Thursday 25Apr-19;3,7
Friday 26Apr-19;32,0
Saturday 07Sept-19;3,0
Wednesday 02Oct-19;1,5
Sunday 27Oct-19;10,0
Saturday 02Nov-19;90,0
Sunday 03Nov-19;1,5
Sunday 10Nov-19;6,0
Tuesday 12Nov-19;32,0
Wednesday 13Nov-19;11,3
Thursday 14Nov-19;23,0
Tuesday 19Nov-19;4,2
Thursday 21Nov-19;42,0
Friday 22Nov-19;1,6
Saturday 23Nov-19;3,5
Sunday 24Nov-19;12,2
Wednesday 04Dec-19;11,0
Thursday 05Dec-19;52,0
Friday 06Dec-19;31,0
Saturday 07Dec-19;2,8
Sunday 08Dec-19;7,0
Monday 09Dec-19;123,0
Tuesday 10Dec-19;73,0
Wednesday 11Dec-19;25,9
Sunday 22Dec-19;1,5
Monday 23Dec-19;34,0
Monday 30Dec-19;3,3
Thursday 02Jan-20;9,0
Sunday 05Jan-20;6,4
Tuesday 07Jan-20;19,0
Thursday 09Jan-20;12,0
Friday 10Jan-20;20,0
Monday 13Jan-20;3,5
Tuesday 14Jan-20;12,0
Sunday 19Jan-20;10,9
Friday 24Jan-20;7,8
Saturday 25Jan-20;20,0
Sunday 26Jan-20;4,5
Friday 31Jan-20;2,0
Friday 07Feb-20;4,2
Saturday 08Feb-20;11,0
Sunday 09Feb-20;7,5
Monday 10Feb-20;9,0
Tuesday 11Feb-20;1,5
Friday 14Feb-20;8,8
Saturday 22Feb-20;23,0
Friday 28Feb-20;4,0
Sunday 01Mar-20;4,0
Tuesday 03Mar-20;24,0
Friday 13Mar-20;32,0
Saturday 14Mar-20;1,6
Wednesday 18Mar-20;6,5
Sunday 22Mar-20;44,0
Tuesday 24Mar-20;6,5
Friday 27Mar-20;21,0
Tuesday 31Mar-20;3,5
Saturday 04Apr-20;65,0
Sunday 05Apr-20;22,0
Wednesday 15Apr-20;33,0
Sunday 26Apr-20;3,0
Monday 27Apr-20;2,3
Tuesday 28Apr-20;23,0
Wednesday 29Apr-20;2,7
Wednesday 17Jun-20;9,0
Wednesday 02Sept-20;8,0
Thursday 01Oct-20;8,0
Tuesday 06Oct-20;14,0
Monday 12Oct-20;23,5
Wednesday 21Oct-20;2,5
Sunday 25Oct-20;5,0
Monday 26Oct-20;9,8
Sunday 01Nov-20;55,0
Monday 02Nov-20;13,8
Friday 06Nov-20;24,0
Monday 09Nov-20;8,0
Tuesday 10Nov-20;4,0
Wednesday 11Nov-20;32,0
Saturday 21Nov-20;46,0
Sunday 22Nov-20;21,0
Monday 23Nov-20;7,8
Saturday 28Nov-20;47,0
Sunday 29Nov-20;5,0
Monday 30Nov-20;12,0
Wednesday 02Dec-20;7,0
Saturday 05Dec-20;19,0
Sunday 06Dec-20;1,4
Wednesday 09Dec-20;1,0
Sunday 13Dec-20;44,0
Tuesday 15Dec-20;3,0
Wednesday 16Dec-20;1,5
Thursday 17Dec-20;2,5
Friday 18Dec-20;7,0
Saturday 19Dec-20;9,0
Tuesday 22Dec-20;55,0
Saturday 02Jan-21;12,0
Thursday 07Jan-21;35,0
Monday 11Jan-21;86,0
Monday 25Jan-21;22,0
Tuesday 26Jan-21;27,0
Thursday 28Jan-21;6,3
Friday 29Jan-21;44,0
Saturday 30Jan-21;5,0
Sunday 31Jan-21;18,5
Tuesday 02Feb-21;34,0
Wednesday 03Feb-21;10,0
Friday 05Feb-21;3,5
Saturday 06Feb-21;18,0
Sunday 07Feb-21;8,5
Monday 08Feb-21;1,6
Tuesday 09Feb-21;4,6
Thursday 11Feb-21;1,2
Tuesday 23Feb-21;12,0
Wednesday 24Feb-21;2,0
Saturday 27Feb-21;9,5
Sunday 28Feb-21;7,5
Sunday 07Mar-21;2,8
Thursday 18Mar-21;12,0
Monday 22Mar-21;6,5
Monday 29Mar-21;6,0
Tuesday 30Mar-21;2,5
Wednesday 31Mar-21;2,0
Wednesday 07Apr-21;7,9
Friday 16Apr-21;1,9
Thursday 29Apr-21;17,0
Friday 30Apr-21;21,0
Sunday 09May-21;4,0
Sunday 15Aug-21;1,0
Thursday 30Sept-21;16,0
Friday 01Oct-21;42,0
Saturday 02Oct-21;13,0
Friday 08Oct-21;24,0
Saturday 09Oct-21;5,0
Tuesday 26Oct-21;16,0
Thursday 28Oct-21;1,0
Saturday 06Nov-21;1,5
Sunday 07Nov-21;4,0
Monday 08Nov-21;20,0
Tuesday 09Nov-21;16,0
Thursday 18Nov-21;27,0
Friday 19Nov-21;27,0
Saturday 20Nov-21;13,0
Sunday 21Nov-21;6,0
Monday 22Nov-21;4,0
Tuesday 23Nov-21;7,0
Thursday 25Nov-21;4,5
Friday 26Nov-21;44,0
Saturday 27Nov-21;14,0
Sunday 28Nov-21;16,0
Monday 29Nov-21;24,0
Thursday 02Dec-21;16,0
Saturday 04Dec-21;6,0
Sunday 05Dec-21;54,0
Monday 06Dec-21;5,0
Tuesday 07Dec-21;3,0
Wednesday 08Dec-21;6,0
Sunday 12Dec-21;4,0
Monday 13Dec-21;16,0
Tuesday 14Dec-21;20,0
Wednesday 15Dec-21;20,0
Thursday 16Dec-21;27,0
Saturday 18Dec-21;6,0
Wednesday 22Dec-21;28,0
Saturday 25Dec-21;30,0
Sunday 26Dec-21;18,0
Monday 27Dec-21;30,0
Friday 31Dec-21;42,0
Tuesday 04Jan-22;13,0
Saturday 08Jan-22;14,0
Saturday 15Jan-22;18,0
Tuesday 18Jan-22;20,0
Thursday 20Jan-22;6,0
Saturday 29Jan-22;12,0
Sunday 30Jan-22;2,0
Monday 31Jan-22;7,0
Friday 04Feb-22;65,0
Saturday 05Feb-22;60,0
Wednesday 09Feb-22;15,0
Thursday 10Feb-22;3,8
Friday 11Feb-22;15,8
Friday 18Feb-22;3,8
Saturday 19Feb-22;1,0
Sunday 20Feb-22;14,0
Monday 28Feb-22;4,3
Tuesday 01Mar-22;4,5
Wednesday 02Mar-22;4,8
Thursday 03Mar-22;4,8
Sunday 06Mar-22;7,0
Tuesday 15Mar-22;14,0
Wednesday 16Mar-22;2,5
Thursday 17Mar-22;18,0
Saturday 26Mar-22;7,0
Sunday 03Apr-22;15,0
Monday 04Apr-22;15,0
Saturday 09Apr-22;44,0
Sunday 10Apr-22;22,0
Monday 11Apr-22;32,0
Tuesday 12Apr-22;8,0
Saturday 16Apr-22;40,0
Sunday 17Apr-22;16,0
Sunday 24Apr-22;6,5
Monday 25Apr-22;6,5
Tuesday 26Apr-22;8,0
Monday 09May-22;1,8
Saturday 21May-22;18,0
Sunday 22May-22;0,5
Monday 23May-22;3,0
Wednesday 15Jun-22;4,0
Saturday 25Jun-22;23,2
Tuesday 18Oct-22;1,0
Wednesday 19Oct-22;1,0
Sunday 23Oct-22;7,5
Monday 24Oct-22;0,8
Tuesday 25Oct-22;10,0
Thursday 27Oct-22;36,0
Friday 28Oct-22;12,0
Saturday 29Oct-22;16,7
Thursday 03Nov-22;4,2
Saturday 05Nov-22;1,8
Monday 07Nov-22;8,0
Tuesday 08Nov-22;46,0
Wednesday 09Nov-22;44,0
Saturday 12Nov-22;13,0
Sunday 13Nov-22;65,0
Monday 14Nov-22;30,0
Saturday 19Nov-22;1,5
